  Hugoniot 
  Temperature,    Density,        Pressure,       Int. Energy,    Sp. Entropy,    Part. Vel.,     Shock Vel. 
  K,              g/cm3,          GPa,            MJ/kg,          MJ/K/kg,        km/s,           km/s
  2.980000E+02,   2.200000E+00,   1.181568E-04,   4.338411E-02,   1.789148E-04,   0.000000E+00,   4.269562E+00
  2.992022E+02,   2.216000E+00,   2.882903E-01,   4.385738E-02,   1.788995E-04,   3.075316E-02,   4.259313E+00
  3.008587E+02,   2.239000E+00,   6.782082E-01,   4.606943E-02,   1.787818E-04,   7.327192E-02,   4.206560E+00
  3.023188E+02,   2.262000E+00,   1.039913E+00,   4.986288E-02,   1.783889E-04,   1.138183E-01,   4.152531E+00
  3.035084E+02,   2.285000E+00,   1.374622E+00,   5.500664E-02,   1.775962E-04,   1.524502E-01,   4.098220E+00
  3.043671E+02,   2.308000E+00,   1.683521E+00,   6.128952E-02,   1.762992E-04,   1.892242E-01,   4.043791E+00
  3.048187E+02,   2.331000E+00,   1.967765E+00,   6.851892E-02,   1.743877E-04,   2.241954E-01,   3.989309E+00
  3.047922E+02,   2.354000E+00,   2.228478E+00,   7.651957E-02,   1.717639E-04,   2.574177E-01,   3.934814E+00
  3.042218E+02,   2.377000E+00,   2.466757E+00,   8.513239E-02,   1.683421E-04,   2.889439E-01,   3.880337E+00
  3.030467E+02,   2.400000E+00,   2.683669E+00,   9.421341E-02,   1.640481E-04,   3.188254E-01,   3.825905E+00
  3.027939E+02,   2.403750E+00,   2.717080E+00,   9.572933E-02,   1.632609E-04,   3.235449E-01,   3.817036E+00
  3.025233E+02,   2.407500E+00,   2.749956E+00,   9.725369E-02,   1.624485E-04,   3.282223E-01,   3.808170E+00
  3.022347E+02,   2.411250E+00,   2.782300E+00,   9.878596E-02,   1.616107E-04,   3.328578E-01,   3.799305E+00
  3.019278E+02,   2.415000E+00,   2.814118E+00,   1.003256E-01,   1.607473E-04,   3.374515E-01,   3.790443E+00
  3.016025E+02,   2.418750E+00,   2.845412E+00,   1.018722E-01,   1.598581E-04,   3.420037E-01,   3.781584E+00
  3.012503E+02,   2.422500E+00,   2.876189E+00,   1.034252E-01,   1.589362E-04,   3.465146E-01,   3.772727E+00
  3.008747E+02,   2.426250E+00,   2.906452E+00,   1.049842E-01,   1.579844E-04,   3.509845E-01,   3.763872E+00
  3.004793E+02,   2.430000E+00,   2.936205E+00,   1.065486E-01,   1.570056E-04,   3.554134E-01,   3.755020E+00
  3.000639E+02,   2.433750E+00,   2.965452E+00,   1.081179E-01,   1.559996E-04,   3.598018E-01,   3.746171E+00
  2.996284E+02,   2.437500E+00,   2.994199E+00,   1.096918E-01,   1.549663E-04,   3.641497E-01,   3.737326E+00
  2.991724E+02,   2.441250E+00,   3.022449E+00,   1.112698E-01,   1.539055E-04,   3.684573E-01,   3.728483E+00
  2.986958E+02,   2.445000E+00,   3.050207E+00,   1.128514E-01,   1.528169E-04,   3.727250E-01,   3.719643E+00
  2.981984E+02,   2.448750E+00,   3.077476E+00,   1.144363E-01,   1.517005E-04,   3.769528E-01,   3.710807E+00
