  Hugoniot 
  Temperature,    Density,        Pressure,       Int. Energy,    Sp. Entropy,    Part. Vel.,     Shock Vel. 
  K,              g/cm3,          GPa,            MJ/kg,          MJ/K/kg,        km/s,           km/s
  2.980000e+02,   2.200000e+00,   1.000000e-04,   0.000000e+00,   0.000000e+00,   0.000000e+00,   1.444046e+00
  2.980000e+02,   2.655000e+00,   3.979656e+00,   2.233528e-01,   1.331646e-04,   5.567746e-01,   3.248871e+00
  2.980000e+02,   2.658750e+00,   3.986958e+00,   2.253780e-01,   1.328596e-04,   5.591822e-01,   3.240819e+00
  2.980000e+02,   2.662500e+00,   3.994004e+00,   2.274013e-01,   1.325555e-04,   5.615631e-01,   3.232782e+00
  2.980000e+02,   2.666250e+00,   4.000798e+00,   2.294226e-01,   1.322522e-04,   5.639174e-01,   3.224761e+00
  2.980000e+02,   2.670000e+00,   4.007342e+00,   2.314417e-01,   1.319498e-04,   5.662455e-01,   3.216756e+00
  2.980000e+02,   2.673750e+00,   4.013640e+00,   2.334584e-01,   1.316481e-04,   5.685474e-01,   3.208768e+00
  2.980000e+02,   2.677500e+00,   4.019696e+00,   2.354728e-01,   1.313472e-04,   5.708235e-01,   3.200795e+00
  2.980000e+02,   2.681250e+00,   4.025513e+00,   2.374846e-01,   1.310471e-04,   5.730739e-01,   3.192840e+00
  2.980000e+02,   2.685000e+00,   4.031094e+00,   2.394938e-01,   1.307478e-04,   5.752988e-01,   3.184902e+00
  2.980000e+02,   2.688750e+00,   4.036443e+00,   2.415001e-01,   1.304493e-04,   5.774985e-01,   3.176980e+00
  2.980000e+02,   2.692500e+00,   4.041562e+00,   2.435036e-01,   1.301516e-04,   5.796731e-01,   3.169076e+00
  2.980000e+02,   2.696250e+00,   4.046456e+00,   2.455040e-01,   1.298546e-04,   5.818230e-01,   3.161189e+00
  2.980000e+02,   2.700000e+00,   4.051127e+00,   2.475014e-01,   1.295584e-04,   5.839482e-01,   3.153320e+00
  2.980000e+02,   2.703750e+00,   4.055579e+00,   2.494955e-01,   1.292630e-04,   5.860491e-01,   3.145470e+00
  2.980000e+02,   2.707500e+00,   4.059815e+00,   2.514863e-01,   1.289683e-04,   5.881258e-01,   3.137637e+00
  2.980000e+02,   2.711250e+00,   4.063839e+00,   2.534738e-01,   1.286744e-04,   5.901786e-01,   3.129822e+00
  2.980000e+02,   2.715000e+00,   4.067653e+00,   2.554576e-01,   1.283812e-04,   5.922076e-01,   3.122026e+00
  2.980000e+02,   2.718750e+00,   4.071261e+00,   2.574379e-01,   1.280888e-04,   5.942131e-01,   3.114249e+00
  2.980000e+02,   2.722500e+00,   4.074666e+00,   2.594145e-01,   1.277971e-04,   5.961953e-01,   3.106491e+00
  2.980000e+02,   2.726250e+00,   4.077871e+00,   2.613873e-01,   1.275061e-04,   5.981544e-01,   3.098752e+00
  2.980000e+02,   2.730000e+00,   4.080880e+00,   2.633562e-01,   1.272158e-04,   6.000906e-01,   3.091033e+00
  2.980000e+02,   2.733750e+00,   4.083695e+00,   2.653212e-01,   1.269263e-04,   6.020042e-01,   3.083333e+00
  2.980000e+02,   2.737500e+00,   4.086320e+00,   2.672821e-01,   1.266375e-04,   6.038954e-01,   3.075653e+00
  2.980000e+02,   2.741250e+00,   4.088758e+00,   2.692389e-01,   1.263494e-04,   6.057643e-01,   3.067994e+00
  2.980000e+02,   2.745000e+00,   4.091013e+00,   2.711915e-01,   1.260621e-04,   6.076113e-01,   3.060354e+00
  2.980000e+02,   2.748750e+00,   4.093086e+00,   2.731398e-01,   1.257754e-04,   6.094365e-01,   3.052735e+00
  2.980000e+02,   2.752500e+00,   4.094983e+00,   2.750838e-01,   1.254894e-04,   6.112401e-01,   3.045137e+00
  2.980000e+02,   2.756250e+00,   4.096704e+00,   2.770233e-01,   1.252042e-04,   6.130224e-01,   3.037561e+00
  2.980000e+02,   2.760000e+00,   4.098254e+00,   2.789584e-01,   1.249196e-04,   6.147836e-01,   3.030005e+00
  2.980000e+02,   2.763750e+00,   4.099636e+00,   2.808889e-01,   1.246357e-04,   6.165239e-01,   3.022471e+00
  2.980000e+02,   2.767500e+00,   4.100853e+00,   2.828148e-01,   1.243525e-04,   6.182435e-01,   3.014959e+00
  2.980000e+02,   2.771250e+00,   4.101908e+00,   2.847360e-01,   1.240700e-04,   6.199427e-01,   3.007468e+00
  2.980000e+02,   2.775000e+00,   4.102803e+00,   2.866524e-01,   1.237881e-04,   6.216217e-01,   3.000000e+00
  2.980000e+02,   2.778750e+00,   4.103543e+00,   2.885641e-01,   1.235070e-04,   6.232806e-01,   2.992555e+00
  2.980000e+02,   2.782500e+00,   4.104129e+00,   2.904709e-01,   1.232264e-04,   6.249197e-01,   2.985132e+00
  2.980000e+02,   2.786250e+00,   4.104565e+00,   2.923728e-01,   1.229466e-04,   6.265393e-01,   2.977732e+00
  2.980000e+02,   2.790000e+00,   4.104855e+00,   2.942697e-01,   1.226674e-04,   6.281396e-01,   2.970355e+00
  2.980000e+02,   2.793750e+00,   4.105000e+00,   2.961616e-01,   1.223889e-04,   6.297208e-01,   2.963002e+00
