  Hugoniot 
  Temperature,    Density,        Pressure,       Int. Energy,    Sp. Entropy,    Part. Vel.,     Shock Vel. 
  K,              g/cm3,          GPa,            MJ/kg,          MJ/K/kg,        km/s,           km/s
  2.980000e+02,   2.200000e+00,   1.181568e-04,   4.338411e-02,   1.789148e-04,   0.000000e+00,   4.269562e+00
  2.992022e+02,   2.216000e+00,   2.882903e-01,   4.385738e-02,   1.788995e-04,   3.075316e-02,   4.259313e+00
  3.008587e+02,   2.239000e+00,   6.782082e-01,   4.606943e-02,   1.787818e-04,   7.327192e-02,   4.206560e+00
  3.023188e+02,   2.262000e+00,   1.039913e+00,   4.986288e-02,   1.783889e-04,   1.138183e-01,   4.152531e+00
  3.035084e+02,   2.285000e+00,   1.374622e+00,   5.500664e-02,   1.775962e-04,   1.524502e-01,   4.098220e+00
  3.043671e+02,   2.308000e+00,   1.683521e+00,   6.128952e-02,   1.762992e-04,   1.892242e-01,   4.043791e+00
  3.048187e+02,   2.331000e+00,   1.967765e+00,   6.851892e-02,   1.743877e-04,   2.241954e-01,   3.989309e+00
  3.047922e+02,   2.354000e+00,   2.228478e+00,   7.651957e-02,   1.717639e-04,   2.574177e-01,   3.934814e+00
  3.042218e+02,   2.377000e+00,   2.466757e+00,   8.513239e-02,   1.683421e-04,   2.889439e-01,   3.880337e+00
  3.030467e+02,   2.400000e+00,   2.683669e+00,   9.421341e-02,   1.640481e-04,   3.188254e-01,   3.825905e+00
  3.027939e+02,   2.403750e+00,   2.717080e+00,   9.572933e-02,   1.632609e-04,   3.235449e-01,   3.817036e+00
  3.025233e+02,   2.407500e+00,   2.749956e+00,   9.725369e-02,   1.624485e-04,   3.282223e-01,   3.808170e+00
  3.022347e+02,   2.411250e+00,   2.782300e+00,   9.878596e-02,   1.616107e-04,   3.328578e-01,   3.799305e+00
  3.019278e+02,   2.415000e+00,   2.814118e+00,   1.003256e-01,   1.607473e-04,   3.374515e-01,   3.790443e+00
  3.016025e+02,   2.418750e+00,   2.845412e+00,   1.018722e-01,   1.598581e-04,   3.420037e-01,   3.781584e+00
  3.012503e+02,   2.422500e+00,   2.876189e+00,   1.034252e-01,   1.589362e-04,   3.465146e-01,   3.772727e+00
  3.008747e+02,   2.426250e+00,   2.906452e+00,   1.049842e-01,   1.579844e-04,   3.509845e-01,   3.763872e+00
  3.004793e+02,   2.430000e+00,   2.936205e+00,   1.065486e-01,   1.570056e-04,   3.554134e-01,   3.755020e+00
  3.000639e+02,   2.433750e+00,   2.965452e+00,   1.081179e-01,   1.559996e-04,   3.598018e-01,   3.746171e+00
  2.996284e+02,   2.437500e+00,   2.994199e+00,   1.096918e-01,   1.549663e-04,   3.641497e-01,   3.737326e+00
  2.991724e+02,   2.441250e+00,   3.022449e+00,   1.112698e-01,   1.539055e-04,   3.684573e-01,   3.728483e+00
  2.986958e+02,   2.445000e+00,   3.050207e+00,   1.128514e-01,   1.528169e-04,   3.727250e-01,   3.719643e+00
  2.981984e+02,   2.448750e+00,   3.077476e+00,   1.144363e-01,   1.517005e-04,   3.769528e-01,   3.710807e+00
