  Hugoniot 
  Temperature,    Density,        Pressure,       Int. Energy,    Sp. Entropy,    Part. Vel.,     Shock Vel. 
  K,              g/cm3,          GPa,            MJ/kg,          MJ/K/kg,        km/s,           km/s
  1.500000E+02,   1.250000E+00,   1.245972E-04,   1.832929E-01,   1.321981E-03,   0.000000E+00,   1.506352E+00
  1.503376E+02,   1.255200E+00,   1.201018E-02,   1.833130E-01,   1.321910E-03,   6.276252E-03,   1.514991E+00
  1.508286E+02,   1.262800E+00,   2.969364E-02,   1.834138E-01,   1.321835E-03,   1.548465E-02,   1.527657E+00
  1.513173E+02,   1.270400E+00,   4.775050E-02,   1.836004E-01,   1.321802E-03,   2.473497E-02,   1.540358E+00
  1.518044E+02,   1.278000E+00,   6.618368E-02,   1.838740E-01,   1.321820E-03,   3.402709E-02,   1.553094E+00
  1.522906E+02,   1.285600E+00,   8.499611E-02,   1.842357E-01,   1.321897E-03,   4.336088E-02,   1.565864E+00
  1.527767E+02,   1.293200E+00,   1.041907E-01,   1.846868E-01,   1.322042E-03,   5.273619E-02,   1.578667E+00
  1.532633E+02,   1.300800E+00,   1.237704E-01,   1.852283E-01,   1.322262E-03,   6.215287E-02,   1.591505E+00
  1.537508E+02,   1.308400E+00,   1.436761E-01,   1.858603E-01,   1.322561E-03,   7.159538E-02,   1.604031E+00
  1.542401E+02,   1.316000E+00,   1.639323E-01,   1.865840E-01,   1.322949E-03,   8.106925E-02,   1.616472E+00
  1.547283E+02,   1.323600E+00,   1.846494E-01,   1.874027E-01,   1.323226E-03,   9.060097E-02,   1.629340E+00
  1.552209E+02,   1.331200E+00,   2.059369E-01,   1.883206E-01,   1.323615E-03,   1.002160E-01,   1.642950E+00
  1.557202E+02,   1.338800E+00,   2.279026E-01,   1.893427E-01,   1.324166E-03,   1.099384E-01,   1.657495E+00
  1.562285E+02,   1.346400E+00,   2.506528E-01,   1.904750E-01,   1.324908E-03,   1.197912E-01,   1.673100E+00
  1.567477E+02,   1.354000E+00,   2.742923E-01,   1.917240E-01,   1.325875E-03,   1.297958E-01,   1.689841E+00
  1.572805E+02,   1.361600E+00,   2.989246E-01,   1.930972E-01,   1.327100E-03,   1.399725E-01,   1.707764E+00
  1.578293E+02,   1.369200E+00,   3.246518E-01,   1.946027E-01,   1.328623E-03,   1.503402E-01,   1.726895E+00
