  Hugoniot 
  Temperature,    Density,        Pressure,       Int. Energy,    Sp. Entropy,    Part. Vel.,     Shock Vel. 
  K,              g/cm3,          GPa,            MJ/kg,          MJ/K/kg,        km/s,           km/s
  2.980000e+02,   2.940000e+00,   1.000000e-04,   0.000000e+00,   0.000000e+00,   0.000000e+00,   1.446487e+01
  2.980000e+02,   3.376000e+00,   1.857713e+02,   1.448277e+01,   1.452649e-03,   2.856653e+00,   2.211941e+01
  2.980000e+02,   3.408000e+00,   1.926546e+02,   1.500265e+01,   1.431430e-03,   2.999777e+00,   2.184453e+01
  2.980000e+02,   3.440000e+00,   1.996759e+02,   1.553174e+01,   1.410326e-03,   3.141918e+00,   2.161640e+01
  2.980000e+02,   3.472000e+00,   2.068356e+02,   1.607000e+01,   1.389338e-03,   3.283257e+00,   2.142757e+01
  2.980000e+02,   3.504000e+00,   2.141338e+02,   1.661736e+01,   1.368469e-03,   3.423942e+00,   2.127215e+01
  2.980000e+02,   3.536000e+00,   2.215709e+02,   1.717376e+01,   1.347718e-03,   3.564098e+00,   2.114538e+01
  2.980000e+02,   3.568000e+00,   2.291470e+02,   1.773915e+01,   1.327089e-03,   3.703827e+00,   2.104340e+01
  2.980000e+02,   3.600000e+00,   2.368624e+02,   1.831346e+01,   1.306582e-03,   3.843218e+00,   2.096301e+01
  2.980000e+02,   3.632000e+00,   2.447173e+02,   1.889663e+01,   1.286198e-03,   3.982343e+00,   2.090155e+01
  2.980000e+02,   3.664000e+00,   2.527118e+02,   1.948861e+01,   1.265938e-03,   4.121265e+00,   2.085679e+01
  2.980000e+02,   3.696000e+00,   2.608462e+02,   2.008932e+01,   1.245805e-03,   4.260038e+00,   2.082685e+01
  2.980000e+02,   3.728000e+00,   2.691207e+02,   2.069871e+01,   1.225799e-03,   4.398706e+00,   2.081012e+01
  2.980000e+02,   3.760000e+00,   2.775354e+02,   2.131671e+01,   1.205921e-03,   4.537310e+00,   2.080523e+01
  2.980000e+02,   3.792000e+00,   2.860905e+02,   2.194326e+01,   1.186173e-03,   4.675882e+00,   2.081097e+01
  2.980000e+02,   3.824000e+00,   2.947861e+02,   2.257831e+01,   1.166555e-03,   4.814453e+00,   2.082632e+01
  2.980000e+02,   3.856000e+00,   3.036224e+02,   2.322177e+01,   1.147069e-03,   4.953046e+00,   2.085038e+01
  2.980000e+02,   3.888000e+00,   3.125996e+02,   2.387360e+01,   1.127715e-03,   5.091685e+00,   2.088235e+01
  2.980000e+02,   3.920000e+00,   3.217177e+02,   2.453373e+01,   1.108496e-03,   5.230386e+00,   2.092155e+01
  2.980000e+02,   3.952000e+00,   3.309770e+02,   2.520210e+01,   1.089411e-03,   5.369167e+00,   2.096734e+01
  2.980000e+02,   3.984000e+00,   3.403774e+02,   2.587864e+01,   1.070461e-03,   5.508042e+00,   2.101919e+01
  2.980000e+02,   4.016000e+00,   3.499192e+02,   2.656329e+01,   1.051648e-03,   5.647022e+00,   2.107662e+01
  2.980000e+02,   4.048000e+00,   3.596025e+02,   2.725599e+01,   1.032973e-03,   5.786117e+00,   2.113917e+01
  2.980000e+02,   4.080000e+00,   3.694273e+02,   2.795668e+01,   1.014436e-03,   5.925338e+00,   2.120647e+01
  2.980000e+02,   4.112000e+00,   3.793937e+02,   2.866529e+01,   9.960373e-04,   6.064690e+00,   2.127816e+01
  2.980000e+02,   4.144000e+00,   3.895019e+02,   2.938177e+01,   9.777787e-04,   6.204181e+00,   2.135392e+01
  2.980000e+02,   4.176000e+00,   3.997519e+02,   3.010604e+01,   9.596607e-04,   6.343815e+00,   2.143347e+01
  2.980000e+02,   4.208000e+00,   4.101438e+02,   3.083806e+01,   9.416838e-04,   6.483598e+00,   2.151655e+01
  2.980000e+02,   4.240000e+00,   4.206776e+02,   3.157775e+01,   9.238488e-04,   6.623534e+00,   2.160291e+01
