  Hugoniot 
  Temperature,    Density,        Pressure,       Int. Energy,    Sp. Entropy,    Part. Vel.,     Shock Vel. 
  K,              g/cm3,          GPa,            MJ/kg,          MJ/K/kg,        km/s,           km/s
  1.500000e+02,   1.250000e+00,   1.245972e-04,   1.832929e-01,   1.321981e-03,   0.000000e+00,   1.506352e+00
  1.503376e+02,   1.255200e+00,   1.201018e-02,   1.833130e-01,   1.321910e-03,   6.276252e-03,   1.514991e+00
  1.508286e+02,   1.262800e+00,   2.969364e-02,   1.834138e-01,   1.321835e-03,   1.548465e-02,   1.527657e+00
  1.513173e+02,   1.270400e+00,   4.775050e-02,   1.836004e-01,   1.321802e-03,   2.473497e-02,   1.540358e+00
  1.518044e+02,   1.278000e+00,   6.618368e-02,   1.838740e-01,   1.321820e-03,   3.402709e-02,   1.553094e+00
  1.522906e+02,   1.285600e+00,   8.499611e-02,   1.842357e-01,   1.321897e-03,   4.336088e-02,   1.565864e+00
  1.527767e+02,   1.293200e+00,   1.041907e-01,   1.846868e-01,   1.322042e-03,   5.273619e-02,   1.578667e+00
  1.532633e+02,   1.300800e+00,   1.237704e-01,   1.852283e-01,   1.322262e-03,   6.215287e-02,   1.591505e+00
  1.537508e+02,   1.308400e+00,   1.436761e-01,   1.858603e-01,   1.322561e-03,   7.159538e-02,   1.604031e+00
  1.542401e+02,   1.316000e+00,   1.639323e-01,   1.865840e-01,   1.322949e-03,   8.106925e-02,   1.616472e+00
  1.547283e+02,   1.323600e+00,   1.846494e-01,   1.874027e-01,   1.323226e-03,   9.060097e-02,   1.629340e+00
  1.552209e+02,   1.331200e+00,   2.059369e-01,   1.883206e-01,   1.323615e-03,   1.002160e-01,   1.642950e+00
  1.557202e+02,   1.338800e+00,   2.279026e-01,   1.893427e-01,   1.324166e-03,   1.099384e-01,   1.657495e+00
  1.562285e+02,   1.346400e+00,   2.506528e-01,   1.904750e-01,   1.324908e-03,   1.197912e-01,   1.673100e+00
  1.567477e+02,   1.354000e+00,   2.742923e-01,   1.917240e-01,   1.325875e-03,   1.297958e-01,   1.689841e+00
  1.572805e+02,   1.361600e+00,   2.989246e-01,   1.930972e-01,   1.327100e-03,   1.399725e-01,   1.707764e+00
  1.578293e+02,   1.369200e+00,   3.246518e-01,   1.946027e-01,   1.328623e-03,   1.503402e-01,   1.726895e+00
