Table 6,Note: at low T different values to table 5,,
Temperature,Viscosity,Thermal conductivity (normal),Thermal conductivity (para)
140.00000,0.05275,0.95900,1.21300
150.00000,0.05540,1.02600,1.29400
160.00000,0.05799,1.09200,1.36500
170.00000,0.06052,1.15700,1.42700
180.00000,0.06299,1.22000,1.48200
190.00000,0.06541,1.28200,1.53000
200.00000,0.06777,1.34200,1.57400
210.00000,0.07010,1.40100,1.61400
220.00000,0.07239,1.45800,1.65100
230.00000,0.07464,1.51400,1.68700
240.00000,0.07686,1.56900,1.72300
250.00000,0.07904,1.62200,1.75800
260.00000,0.08119,1.67400,1.79300
270.00000,0.08332,1.72500,1.82800
280.00000,0.08541,1.77400,1.86300
290.00000,0.08748,1.82300,1.89900
300.00000,0.08953,1.87000,1.93500
310.00000,0.09156,1.91700,1.97200
320.00000,0.09356,1.96200,2.01000
330.00000,0.09554,2.00700,2.04700
340.00000,0.09749,2.05100,2.08500
350.00000,0.09944,2.09500,2.12300
360.00000,0.10137,2.13700,2.16100
370.00000,0.10326,2.17900,2.19900
380.00000,0.10516,2.22000,2.23700
390.00000,0.10703,2.26100,2.27500
400.00000,0.10888,2.30200,2.31300
410.00000,0.11073,2.34200,2.35200
420.00000,0.11255,2.38100,2.39000
430.00000,0.11436,2.42000,2.42800
440.00000,0.11616,2.45900,2.46600
450.00000,0.11795,2.49800,2.50400
460.00000,0.11971,2.53600,2.54100
470.00000,0.12148,2.57500,2.57800
480.00000,0.12323,2.61300,2.61600
490.00000,0.12497,2.65000,2.65300
500.00000,0.12670,2.68800,2.69000
510.00000,0.12841,2.72500,2.72600
520.00000,0.13011,2.76100,2.76300
530.00000,0.13181,2.79800,2.79900
540.00000,0.13349,2.83500,2.83600
550.00000,0.13516,2.87100,2.87200
560.00000,0.13682,2.90700,2.90800
570.00000,0.13848,2.94300,2.94400
580.00000,0.14012,2.97900,2.97900
590.00000,0.14175,3.01400,3.01500
600.00000,0.14338,3.05000,3.05000
610.00000,0.14499,3.08500,3.08600
620.00000,0.14660,3.12100,3.12100
630.00000,0.14820,3.15600,3.15600
640.00000,0.14980,3.19100,3.19100
650.00000,0.15138,3.22600,3.22600
660.00000,0.15296,3.26100,3.26100
670.00000,0.15453,3.29600,3.29600
680.00000,0.15608,3.33100,3.33100
690.00000,0.15765,3.36600,3.36600
700.00000,0.15920,3.40100,3.40100
720.00000,0.16228,3.47000,3.47100
740.00000,0.16532,3.54000,3.54000
760.00000,0.16836,3.60900,3.61000
780.00000,0.17137,3.67800,3.67900
800.00000,0.17433,3.74700,3.74800
820.00000,0.17730,3.81700,3.81800
840.00000,0.18023,3.88600,3.88700
860.00000,0.18314,3.95500,3.95600
880.00000,0.18604,4.02500,4.02600
900.00000,0.18891,4.09500,4.09600
920.00000,0.19175,4.16500,4.16500
940.00000,0.19459,4.23500,4.23600
960.00000,0.19740,4.30500,4.30600
980.00000,0.20019,4.37600,4.37600
1000.00000,0.20298,4.44700,4.44700
1050.00000,0.20984,4.62300,4.62300
1100.00000,0.21662,4.80100,4.80100
1150.00000,0.22331,4.98000,4.98100
1200.00000,0.22990,5.16000,5.16100
1250.00000,0.23641,5.34100,5.34300
1300.00000,0.24284,5.52300,5.52500
1350.00000,0.24921,5.70700,5.70800
1400.00000,0.25550,5.89100,5.89200
1450.00000,0.26172,6.07500,6.07600
1500.00000,0.26789,6.26100,6.26100
1550.00000,0.27398,6.44500,6.44100
1600.00000,0.28002,6.62800,6.62000
1650.00000,0.28601,6.81200,6.80000
1700.00000,0.29191,6.99500,6.97800
1750.00000,0.29781,7.17800,7.15800
1800.00000,0.30364,7.36000,7.33600
1850.00000,0.30939,7.54100,7.51400
1900.00000,0.31515,7.72300,7.69300
1950.00000,0.32085,7.90300,7.87100
2000.00000,0.32647,8.08200,8.04800
