Temperature,Mol frac H2,Pressure,Density,Viscosity
C,,atm,g/cc,micro-Poise
20,0.1404,5.06,0.000782,178.19
20,0.1404,3,0.000464,178.17
20,0.1404,1.1,0.000169,178.09
20,0.1463,5.08,0.000782,177.39
20,0.1463,3.04,0.000468,177.37
20,0.1463,1.11,0.000171,177.39
20,0.1512,5.07,0.000778,176.81
20,0.1512,3.02,0.000464,176.81
20,0.1512,1.11,0.000171,176.78
20,0.1571,5.06,0.000775,176.37
20,0.1571,3.02,0.000462,176.31
20,0.1571,1.09,0.000167,176.18
20,0.1675,5.03,0.000766,174.69
20,0.1675,3.02,0.00046,174.71
20,0.1675,1.09,0.000166,174.6
20,0.2263,22.98,0.003369,167.28
20,0.2263,15.08,0.002217,167.4
20,0.2263,5,0.000737,167.4
20,0.2263,1.04,0.000154,167.32
20,0.3714,24.28,0.003273,150.7
20,0.3714,15.01,0.002029,150.77
20,0.3714,5,0.000677,150.77
20,0.3714,1.04,0.000141,150.64
20,0.4804,23.18,0.002919,138.55
20,0.4804,15.15,0.001912,138.56
20,0.4804,5.01,0.000634,138.62
20,0.4804,1.05,0.000133,138.56
20,0.7371,23.05,0.002412,112.52
20,0.7371,15.16,0.001591,112.46
20,0.7371,5.02,0.000529,112.43
20,0.7371,1.05,0.00011,112.41
30,0.1404,5.06,0.000757,182.47
30,0.1404,3,0.000449,182.4
30,0.1404,1.11,0.000166,182.39
30,0.1463,5.08,0.000756,181.72
30,0.1463,3.01,0.000449,181.73
30,0.1463,1.11,0.000165,181.63
30,0.1512,5.06,0.000752,181.12
30,0.1512,2.99,0.000445,181.13
30,0.1512,1.1,0.000163,181.04
30,0.1571,4.98,0.000737,180.62
30,0.1571,2.99,0.000444,180.64
30,0.1571,1.1,0.000163,180.54
30,0.1675,5.03,0.000741,178.98
30,0.1675,3.02,0.000445,178.91
30,0.1675,1.1,0.000162,178.93
30,0.2263,23.78,0.003371,171.26
30,0.2263,14.97,0.002128,171.32
30,0.2263,4.99,0.000711,171.31
30,0.2263,1.04,0.000149,171.29
30,0.3714,23.58,0.003076,154.33
30,0.3714,14.98,0.001959,154.33
30,0.3714,5.02,0.000657,154.39
30,0.3714,1.42,0.000186,154.35
30,0.3714,1.05,0.000138,154.31
30,0.4804,23.46,0.002856,141.86
30,0.4804,15.09,0.001841,141.88
30,0.4804,5.02,0.000614,141.92
30,0.4804,1.06,0.000129,142.04
30,0.7371,23.58,0.002386,115.18
30,0.7371,23.58,0.002386,115.16
30,0.7371,15.03,0.001525,115.18
30,0.7371,5.03,0.000512,115.17
30,0.7371,1.06,0.000108,114.93
