,pres,up,rho,temp,j,time,pos
24,10000000000.0,0.0,1.901074471929433,479.00410406553726,49,0.0,0.0246
299,9940936177.780962,32.87614154351622,1.901074471929433,479.00410406553726,49,2.777777777777778e-06,0.024600328761415435
574,5348588244.169105,652.2807498830624,1.901074471955501,479.00441559029997,49,3.0555555555555554e-05,0.024637755011721524
849,1839531980.439264,1051.4859724971404,1.9010744676902114,479.0044149925167,49,5.833333333333333e-05,0.024724680436756755
1124,822532912.8224154,1295.1019784656908,1.9010736964776038,479.0043069072335,49,8.61111111111111e-05,0.024843179879987472
1399,524071076.92519635,1441.757325253412,1.9010471464067003,479.0005868449715,49,0.00011388888888888888,0.024980696303725586
1674,331633708.1882913,1533.4309246344671,1.900706481725369,478.95301504811596,49,0.00014166666666666668,0.025129837426707987
1949,169766573.98864675,1593.664793058879,1.898519655301752,478.6547694771209,49,0.00016944444444444445,0.02528642288056953
2224,53150050.3468036,1634.8036292974111,1.8903907896946985,477.59172433981917,49,0.00019722222222222222,0.025447990121552733
2499,548.8280025849568,1664.9102932216624,1.871054533472402,475.08136289954774,49,0.000225,0.02561305266637752
2774,548.8192665375243,1689.7800162837334,1.8388768606843042,470.86722491881665,49,0.00025277777777777777,0.025780833936262355
3049,548.8108264858347,1710.8615636290847,1.797787504708856,465.50092124445655,49,0.00028055555555555554,0.02595090577145324
3324,548.802619993179,1728.621254948985,1.753541882941636,459.73379940901134,49,0.0003083333333333333,0.026122915099317072
3599,548.7945886480773,1743.3645777789818,1.7100887957201882,454.07961875460074,49,0.0003361111111111111,0.026296545824815287
3874,548.7866921234863,1755.25096808568,1.6691298382182505,448.73465955428264,49,0.00036388888888888886,0.026471506775018628
4149,548.7788704769752,1764.2649913931068,1.6310723322585965,443.7618974564775,49,0.00039166666666666663,0.026647509967591874
4424,548.7710448023832,1770.7190844631,1.5957981323526336,439.1410932061507,49,0.00041944444444444445,0.02682428220603194
4699,548.7632122159275,1774.9660222207476,1.5630259302672962,434.81832038740015,49,0.00044722222222222217,0.027001585602696256
4974,548.7552957638403,1777.3209241102993,1.532448493393206,430.76403001463575,49,0.000475,0.027179215685242102
5249,548.7472635120627,1778.0685414877855,1.503780007930265,426.9354788168625,49,0.0005027777777777778,0.02735699756229781
5524,548.739090244416,1778.076987022392,1.4767744822479234,423.29890591636143,49,0.0005305555555555555,0.027534805186881676
5799,548.7308698279252,1778.0770326965335,1.451531228747962,419.8656596850996,49,0.0005580271092235061,0.027710652723706094
6074,548.7234398340013,1778.0770736851941,1.430335840755025,416.95693533150137,49,0.0005824024017928511,0.027866680857897428
6349,548.7158867891078,1778.0771151352092,1.4102896891468948,413.1577370422117,49,0.0006067777242469193,0.02802270918700041
6624,548.7082244885173,1778.0771570493441,1.3912880483534122,407.4783408133423,49,0.0006311531747969767,0.028178738339713565
6899,548.7004475257634,1778.077199430822,1.3730530439043411,401.2914813492621,49,0.0006555291184904017,0.028334770652774535
7174,548.6925520374126,1778.0772422843995,1.355285079688005,395.35684982761757,49,0.0006799067731860474,0.028490813921834127
7449,548.6845140505178,1778.077285619247,1.337804786923828,389.64158997900904,49,0.000704289790775376,0.028646891522977398
7724,548.6763578093477,1778.077329455951,1.320533369102451,384.09466464724653,49,0.0007286880141148073,0.028803066461143858
7999,548.6680679315592,1778.0773738412843,1.3034193012468969,378.6847994089265,49,0.0007531252527165316,0.028959491142940233
8274,548.6596254073669,1778.0774188748533,1.2864008961380493,373.37610853672686,49,0.0007776529994103842,0.029116495178084203
8549,548.6509758725871,1778.0774647431979,1.2693883278740945,368.11423851254375,49,0.0008023701942073575,0.029274711889476862
8824,548.6421061271429,1778.0775117914739,1.2522481692995218,362.83939079259164,49,0.0008274469475469079,0.02943523016762523
9099,548.6328275894042,1778.077560546048,1.2347879349358668,357.4809561905644,49,0.0008531495393051105,0.029599754491339385
9374,548.6230805764549,1778.0776117971036,1.2167341204147626,351.9576961167181,49,0.0008798660415708728,0.029770768941254046
9649,548.6125472792605,1778.0776666703857,1.1977009100875837,346.14761256684847,49,0.0009081376122197209,0.02995173751262443
9924,548.6009990255498,1778.0777267467001,1.1771237535764758,340.1305436079168,49,0.0009387107831180368,0.03014743881650132
10199,548.5879225402863,1778.077794340154,1.154212965718166,333.49831102444006,49,0.0009726430212166946,0.030364641785076186
10474,548.5726900668573,1778.0778726595763,1.1279752773804497,329.09410986937746,49,0.0010113726794554448,0.030612553433644538
10749,548.5543313877264,1778.077966533348,1.0972122277111491,323.7940076006162,49,0.0010569882113834268,0.030904542126100592
11024,548.5310656969401,1778.078084701325,1.0599073258299965,317.1732026451675,49,0.0011132257412987973,0.03126452310434178
11299,548.4985325177847,1778.0782482110124,1.0114420337304493,308.2656557630064,49,0.0011890570652561894,0.03174992558172528
11574,548.4502023453758,1778.078488106518,0.9514808410423823,301.49179591371717,49,0.0012961638060195405,0.032435524625663306
11849,548.3775033038772,1778.0788398730517,0.8802074575351982,301.4914767820023,49,0.001447150137007576,0.03340200069190828
12124,228.79482245217983,1780.6721448413698,0.001369152743565562,299.0577738606781,49,0.04672855026710833,0.3233933879026984
12399,36.71997425545335,1800.7371378805915,4.5960101858040035e-05,280.20545749110494,49,0.15427023734018583,1.0164516954322753
12674,11.127601006431247,1818.691836894713,1.388264160261061e-05,272.4530701967074,49,0.23200965465903334,1.5228837552296004
12949,6.770465532321513,1828.7315308417228,8.425828534390482e-06,270.5728869801965,49,0.27477265213371954,1.8036700097562623
13224,4.900118621632195,1834.773351547011,6.1269155178433086e-06,269.1004280123989,49,0.30599136432091834,2.0095480425199646
13499,3.903017385421524,1839.0553957743493,4.831404631334206e-06,267.91426880852674,49,0.33149742981407876,2.178223289067543
13774,3.2040493481293946,1842.2617397421411,3.999270089964544e-06,264.93084734709475,49,0.353233535012107,2.3222589685455435
14049,2.7589315102998624,1844.8170351009762,3.415363495295119e-06,263.0038351965538,49,0.37242922771824777,2.449657904355488
14324,2.3644012440590365,1846.8994992236399,2.9832200234825894e-06,261.67334329366423,49,0.38970650693571357,2.564468611474429
14599,2.172586293250143,1848.6295801782364,2.6500573767920802e-06,260.54134370751655,49,0.40546977776507803,2.6693264986503222
